feature_name,feature_category,mathematical_definition,required_input_columns,expected_output_type,scientific_motivation,stgt_relevance,generic_or_novel,implementation_difficulty,priority,status
demand_rolling_std_7_Khulna,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Khulna_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_zscore_30_Dhaka,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Dhaka_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Chattogram,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Chattogram_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Rajshahi,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Rajshahi_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Mymensingh,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Mymensingh_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Sylhet,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Sylhet_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Barishal,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Barishal_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Rangpur,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Rangpur_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Cumilla,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Cumilla_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
demand_zscore_30_Khulna,Statistical,"(D_r(t) - μ_roll30_train) / σ_roll30_train where μ,σ from trailing 30 observed rows; σ fit logic uses past only",Khulna_demand; Date,float32,Normalised deviation from recent local level; highlights anomaly days.,Node anomaly score feeding operational stress assessment.,Generic,High,Medium,Proposed
regional_demand_share_Dhaka,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Dhaka_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Chattogram,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Chattogram_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Rajshahi,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Rajshahi_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Mymensingh,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Mymensingh_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Sylhet,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Sylhet_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Barishal,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Barishal_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Rangpur,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Rangpur_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Cumilla,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Cumilla_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_demand_share_Khulna,Regional,share_r(t) = D_r(t) / Σ_{j∈R} D_j(t),Khulna_demand; all regional demand columns,"float32 [0,1]",Dhaka ~35.7% of mean demand (Phase 02); spatial allocation of national load.,Normalised node identity for heterogeneous regional scales in STGT.,Generic,Low,High,Proposed
regional_load_intensity_Dhaka,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Dhaka_load; Dhaka_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Dhaka.,Generic,Low,High,Proposed
regional_load_intensity_Chattogram,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Chattogram_load; Chattogram_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Chattogram.,Generic,Low,High,Proposed
regional_load_intensity_Rajshahi,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Rajshahi_load; Rajshahi_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Rajshahi.,Generic,Low,High,Proposed
regional_load_intensity_Mymensingh,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Mymensingh_load; Mymensingh_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Mymensingh.,Generic,Low,High,Proposed
regional_load_intensity_Sylhet,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Sylhet_load; Sylhet_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Sylhet.,Generic,Low,High,Proposed
regional_load_intensity_Barishal,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Barishal_load; Barishal_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Barishal.,Generic,Low,High,Proposed
regional_load_intensity_Rangpur,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Rangpur_load; Rangpur_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Rangpur.,Generic,Low,High,Proposed
regional_load_intensity_Cumilla,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Cumilla_load; Cumilla_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Cumilla.,Generic,Low,High,Proposed
regional_load_intensity_Khulna,Regional,"λ_r(t) = L_r(t) / max(D_r(t), ε); ε=1 MW",Khulna_load; Khulna_demand,"float32 [0,1]",Fraction of demand unmet; sparse but interpretable stress ratio.,Direct normalised target proxy for load-shedding task at node Khulna.,Generic,Low,High,Proposed
regional_accounting_residual_Dhaka,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Dhaka_demand; Dhaka_supply; Dhaka_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Chattogram,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Chattogram_demand; Chattogram_supply; Chattogram_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Rajshahi,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Rajshahi_demand; Rajshahi_supply; Rajshahi_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Mymensingh,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Mymensingh_demand; Mymensingh_supply; Mymensingh_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Sylhet,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Sylhet_demand; Sylhet_supply; Sylhet_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Barishal,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Barishal_demand; Barishal_supply; Barishal_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Rangpur,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Rangpur_demand; Rangpur_supply; Rangpur_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Cumilla,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Cumilla_demand; Cumilla_supply; Cumilla_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
regional_accounting_residual_Khulna,Regional,δ_r(t) = D_r(t) - S_r(t) - L_r(t); 0 if identity holds,Khulna_demand; Khulna_supply; Khulna_load,float32,Phase 03 preserved 74 region-rows with identity mismatch — metering/reporting signal.,Diagnostic node feature for explainable stress assessment (not an error to drop).,Novel,Low,Medium,Proposed
total_regional_demand,Grid,D_total(t) = Σ_r D_r(t),all regional demand columns,float32,Aggregate load; tracks national evening-peak trend.,Global graph-level feature broadcast to all nodes.,Generic,Low,High,Proposed
total_regional_load,Grid,L_total(t) = Σ_r L_r(t),,float32,System-wide load-shedding severity.,Global stress scalar for multi-task heads.,Generic,Low,High,Proposed
generation_reserve,Grid,GR(t) = Highest Generation(t) - Max Eve Peak Gen-end(t),Highest Generation (Generation end); Max. Demand at eve. peak (Generation end),float32,Headroom between peak capability and evening demand.,Global supply margin modulating predicted shedding risk.,Generic,Low,High,Proposed
generation_utilization,Grid,"GU(t) = Max Eve Peak Gen-end(t) / max(Highest Generation(t), ε)",Max. Demand at eve. peak (Generation end); Highest Generation (Generation end),"float32 [0,1+]",Fraction of available capacity utilised at peak.,Capacity stress ratio for operational assessment.,Generic,Low,Medium,Proposed
substation_generation_spread,Grid,SGS(t) = Max Eve Peak Gen-end(t) - Max Eve Peak Sub-station end(t),Max. Demand at eve. peak (Generation end); Max. Demand at eve. peak (Sub-station end),float32,Transmission/distribution losses and metering differences (16 anomalous rows in Phase 03).,Grid loss proxy for explainable stress decomposition.,Novel,Low,Medium,Proposed
forecast_min_generation_error,Grid,FME(t) = Minimum Generation Forecast(t) - Minimum Generation(t),Minimum Generation Forecast up to 8:00 hrs.; Minimum Generation (Generation end),float32,Dispatch forecast accuracy; under-forecast may precede stress.,Operational intelligence signal for day-ahead stress prediction.,Novel,Low,Medium,Proposed
temperature_anomaly_month,Weather,"TA(t) = T(t) - μ_T,month; μ computed on train split only per calendar month",Maximum Temperature in Dhaka was; Month,float32,Cooling load drives month-9 peak; anomaly vs monthly norm isolates heat waves.,Weather shock covariate for national and Dhaka-proximal nodes.,Generic,Medium,High,Proposed
cooling_degree_proxy,Weather,"CDD*(t) = max(0, T(t) - T_base); T_base = 28°C (Bangladesh cooling threshold)",Maximum Temperature in Dhaka was,float32 ≥ 0,Non-linear temperature effect on air-conditioning-driven demand.,Non-linear exogenous driver for summer peak prediction.,Generic,Low,Medium,Proposed
