catalog_index,paper_id,title,authors,year,journal,publisher,doi,link,abstract,keywords,citation_count,research_topic,source_priority,collection_method
17,10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Xinquan Chen; Aboutaleb Haddadi; Evangelos Farantatos; Ilhan Kocar,2025,,Elsevier,10.2139/ssrn.5113684,https://doi.org/10.2139/ssrn.5113684,,,0,Load Shedding Prediction,Priority 1,CrossRef
18,10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Oscar D. Garzon Rivera; Jonathan Torres Gonzalez; Gyan Roldan Bezares; Taisha Rosa Ramirez; Daniel Haughton; Omid Alizadeh,2025,2025 IEEE PES Innovative Smart Grid Technologies Conference - Latin America (ISGT LA),IEEE,10.1109/isgtla64895.2025.11371202,https://doi.org/10.1109/isgtla64895.2025.11371202,,,0,Load Shedding Prediction,Priority 1,CrossRef
19,10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Xin Wu; Shaoqi Yu; Weizheng Gong,2025,2025 6th International Conference on Smart Grid and Energy Engineering (SGEE),IEEE,10.1109/sgee68429.2025.11385577,https://doi.org/10.1109/sgee68429.2025.11385577,,,0,Load Shedding Prediction,Priority 1,CrossRef
20,10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Gang Yu; Xianming Ye; Xiaohua Xia,2025,,Elsevier,10.2139/ssrn.5104306,https://doi.org/10.2139/ssrn.5104306,,,0,Load Shedding Prediction,Priority 1,CrossRef
21,10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Halbianto Adi Sucipto; Dimas Fajar Uman; Adi Soeprijanto,2025,2025 International Seminar on Intelligent Technology and Its Applications (ISITIA),IEEE,10.1109/isitia66279.2025.11137472,https://doi.org/10.1109/isitia66279.2025.11137472,,,0,Load Shedding Prediction,Priority 1,CrossRef
22,10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Gang Yu; Xianming Ye; Xiaohua Xia,2025,Energy,Elsevier,10.1016/j.energy.2025.135624,https://api.elsevier.com/content/article/PII:S0360544225012666?httpAccept=text/xml,,,4,Load Shedding Prediction,Priority 1,CrossRef
23,10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Devanshi Timande; Nishant Agade; Amit Gudadhe,2025,2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),IEEE,10.1109/icmlas64557.2025.10967699,https://doi.org/10.1109/icmlas64557.2025.10967699,,,4,Smart Grid Analytics,Priority 1,CrossRef
24,10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Adli Naufal Irhaam Imran; Illani Mohd Nawi,2025,2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT),IEEE,10.1109/icmlant68509.2025.11394862,https://doi.org/10.1109/icmlant68509.2025.11394862,,,0,Smart Grid Analytics,Priority 1,CrossRef
25,10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,K. Senthil Kumar; P. Dass,2025,2025 3rd World Conference on Communication &amp; Computing (WCONF),IEEE,10.1109/wconf64849.2025.11233664,https://doi.org/10.1109/wconf64849.2025.11233664,,,0,Smart Grid Analytics,Priority 1,CrossRef
26,10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,Ahmet Cifci,2025,IEEE Access,IEEE,10.1109/access.2025.3543759,https://doi.org/10.1109/access.2025.3543759,,,31,Explainable AI,Priority 1,CrossRef
27,10.1109_tsg.2024.3458074,Aggregator-Grid Interactive Building Dual-Layer Price-Responsive Demand Response Scheduling Based on Federated Deep Reinforcement Learning,Wei Zhang; Yiyang Li,2025,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2024.3458074,https://doi.org/10.1109/tsg.2024.3458074,,,14,Smart Grid Analytics,Priority 1,CrossRef
28,10.1109_icsge68440.2025.11441914,A Centralized Deep Reinforcement Learning Method for Demand Response in Building Clusters,Shuaiwei Liu; Junzhe Yang; Dian-Ce Gao,2025,2025 International Conference on Smart Grid and Energy (ICSGE),IEEE,10.1109/icsge68440.2025.11441914,https://doi.org/10.1109/icsge68440.2025.11441914,,,0,Smart Grid Analytics,Priority 1,CrossRef
29,10.1016_b978-0-443-28951-4.00003-4,Smart grid technologies through data preprocessing and feature engineering: role in demand response and green machine learning,Debosree Ghosh,2025,Green Machine Learning and Big Data for Smart Grids,Elsevier,10.1016/b978-0-443-28951-4.00003-4,https://api.elsevier.com/content/article/PII:B9780443289514000034?httpAccept=text/xml,,,2,Smart Grid Analytics,Priority 1,CrossRef
30,10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Wei Zhuang; Jili Fan; Min Xia; Kedong Zhu,2024,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2023.3315750,https://doi.org/10.1109/tsg.2023.3315750,,,76,Graph Neural Networks,Priority 1,CrossRef
31,10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Jinkai Shi; Weige Zhang; Yan Bao; David Wenzhong Gao; Zhihao Wang,2024,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2023.3321116,https://doi.org/10.1109/tsg.2023.3321116,,,56,Graph Neural Networks,Priority 1,CrossRef
32,10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Pengfei Zhao; Weihao Hu; Di Cao; Zhenyuan Zhang; Wenlong Liao; Zhe Chen; Qi Huang,2024,International Journal of Electrical Power & Energy Systems,Elsevier,10.1016/j.ijepes.2024.110074,https://api.elsevier.com/content/article/PII:S0142061524002953?httpAccept=text/xml,,,32,Graph Transformers,Priority 1,CrossRef
33,10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Lukas Baur; Konstantin Ditschuneit; Maximilian Schambach; Can Kaymakci; Thomas Wollmann; Alexander Sauer,2024,Energy and AI,Elsevier,10.1016/j.egyai.2024.100358,https://api.elsevier.com/content/article/PII:S2666546824000247?httpAccept=text/xml,,,106,Explainable AI,Priority 1,CrossRef
34,10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Cairong Song; Haidong Yang; Jianyang Cai; Pan Yang; Hao Bao; Kangkang Xu; Xian-Bing Meng,2024,Applied Energy,Elsevier,10.1016/j.apenergy.2024.123788,https://api.elsevier.com/content/article/PII:S0306261924011711?httpAccept=text/xml,,,51,Multi-task Learning,Priority 1,CrossRef
35,10.1007_s41019-023-00233-8,Graph Neural Network-Based Short‑Term Load Forecasting with Temporal Convolution,Chenchen Sun; Yan Ning; Derong Shen; Tiezheng Nie,2024,Data Science and Engineering,Springer,10.1007/s41019-023-00233-8,https://link.springer.com/content/pdf/10.1007/s41019-023-00233-8.pdf,"AbstractAn accurate short-term load forecasting plays an important role in modern power system’s operation and economic development. However, short-term load forecasting is affected by multiple factors, and due to the complexity of the relationships between factors, the graph structure in this task is unknown. On the other hand, existing methods do not fully aggregating data information through the inherent relationships between various factors. In this paper, we propose a short-term load forecasting framework based on graph neural networks and dilated 1D-CNN, called GLFN-TC. GLFN-TC uses the graph learning module to automatically learn the relationships between variables to solve problem with unknown graph structure. GLFN-TC effectively handles temporal and spatial dependencies through two modules. In temporal convolution module, GLFN-TC uses dilated 1D-CNN to extract temporal dependencies from historical data of each node. In densely connected residual convolution module, in order to ensure that data information is not lost, GLFN-TC uses the graph convolution of densely connected residual to make full use of the data information of each graph convolution layer. Finally, the predicted values are obtained through the load forecasting module. We conducted five studies to verify the outperformance of GLFN-TC. In short-term load forecasting, using MSE as an example, the experimental results of GLFN-TC decreased by 0.0396, 0.0137, 0.0358, 0.0213 and 0.0337 compared to the optimal baseline method on ISO-NE, AT, AP, SH and NCENT datasets, respectively. Results show that GLFN-TC can achieve higher prediction accuracy than the existing common methods.",,28,Graph Neural Networks,Priority 1,CrossRef
36,10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Yimin Bo; Minglei Bao; Bowen Yang; Yi Ding; Ying Huang,2024,IEEE Transactions on Power Systems,IEEE,10.1109/tpwrs.2024.3357748,https://doi.org/10.1109/tpwrs.2024.3357748,,,11,Operational Stress Assessment,Priority 1,CrossRef
37,10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Qilin Liu; Yonggang Wang; Dongxu Huang,2024,2024 IEEE 2nd International Conference on Power Science and Technology (ICPST),IEEE,10.1109/icpst61417.2024.10602123,https://doi.org/10.1109/icpst61417.2024.10602123,,,0,Operational Stress Assessment,Priority 1,CrossRef
38,10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Yang Zhu; Heling Yuan; Yan Xu,2024,2024 IEEE Power & Energy Society General Meeting (PESGM),IEEE,10.1109/pesgm51994.2024.10688439,https://doi.org/10.1109/pesgm51994.2024.10688439,,,4,Load Shedding Prediction,Priority 1,CrossRef
39,10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Chenghao Li; Di Zhang; Ji Han; Longjie Xie; Ze Gao; Zhou Fang; Chunsun Tian,2024,2024 International Conference on Electrical Power Systems and Intelligent Control (EPSIC),IEEE,10.1109/epsic63429.2024.00025,https://doi.org/10.1109/epsic63429.2024.00025,,,0,Load Shedding Prediction,Priority 1,CrossRef
40,10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,LuPing Dai,2024,Heliyon,Elsevier,10.1016/j.heliyon.2024.e35273,https://api.elsevier.com/content/article/PII:S2405844024113047?httpAccept=text/xml,,,24,Electrical Load Forecasting,Priority 1,CrossRef
41,10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Barış Aydın; Kasım Zor; Gökay Dişken,2024,2024 9th International Youth Conference on Energy (IYCE),IEEE,10.1109/iyce60333.2024.10634913,https://doi.org/10.1109/iyce60333.2024.10634913,,,1,Electrical Load Forecasting,Priority 1,CrossRef
42,10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Jian Zhou; Yun Wang; Ran Chen; Qi Zhu,2024,2024 43rd Chinese Control Conference (CCC),IEEE,10.23919/ccc63176.2024.10662217,https://doi.org/10.23919/ccc63176.2024.10662217,,,0,Electrical Load Forecasting,Priority 1,CrossRef
43,10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Igor Westphal,2024,,Elsevier,10.2139/ssrn.4896999,https://doi.org/10.2139/ssrn.4896999,,,1,Electrical Load Forecasting,Priority 1,CrossRef
44,10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Maram Helmy; Eiman ElGhanam; Mohamed S. Hassan; Ahmed Osman,2024,"2024 6th International Conference on Communications, Signal Processing, and their Applications (ICCSPA)",IEEE,10.1109/iccspa61559.2024.10794251,https://doi.org/10.1109/iccspa61559.2024.10794251,,,5,Electrical Load Forecasting,Priority 1,CrossRef
45,10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Zhanshuo Hu; Peng  Fei Zhang; Hengyu Liu; Bo Hu; Zuo  Xia Xing; Zhe Chen,2024,,Elsevier,10.2139/ssrn.4937263,https://doi.org/10.2139/ssrn.4937263,,,0,Spatio-Temporal Forecasting,Priority 1,CrossRef
46,10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,V.V.N Prasad Thota; Kiran Teeparthi; Sri Phani Krishna Karri; Kocherla Venkata Veerendra Babu; Sai Sripad Vemula; Koppadi Siva Sai Varma,2024,2024 23rd National Power Systems Conference (NPSC),IEEE,10.1109/npsc61626.2024.10986789,https://doi.org/10.1109/npsc61626.2024.10986789,,,0,Electrical Load Forecasting,Priority 1,CrossRef
47,10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Bei Xu; Victor Daldegan Paduani; Qi Xiao; Lidong Song; David Lubkeman; Ning Lu,2024,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2024.3393426,https://doi.org/10.1109/tsg.2024.3393426,,,13,Load Shedding Prediction,Priority 1,CrossRef
48,10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Zhiqiang Luo; Hui Liu; Ni Wang; Teyang Zhao; Jiarui Tian,2024,Applied Energy,Elsevier,10.1016/j.apenergy.2024.123162,https://api.elsevier.com/content/article/PII:S0306261924005452?httpAccept=text/xml,,,11,Load Shedding Prediction,Priority 1,CrossRef
49,10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Graham McClone; Avik Ghosh; Adil Khurram; Byron Washom; Jan Kleissl,2024,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2023.3296014,https://doi.org/10.1109/tsg.2023.3296014,,,22,Smart Grid Analytics,Priority 1,CrossRef
50,10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,K. R. Deepa; N. Thillaiarasu,2024,SN Computer Science,Springer,10.1007/s42979-024-03305-2,https://link.springer.com/content/pdf/10.1007/s42979-024-03305-2.pdf,,,10,Smart Grid Analytics,Priority 1,CrossRef
51,10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Alexandre Serrano-Fontova; Zhiyu Liao; Haiyu Li; Campbell Booth,2023,International Journal of Electrical Power & Energy Systems,Elsevier,10.1016/j.ijepes.2023.109310,https://api.elsevier.com/content/article/PII:S0142061523003678?httpAccept=text/xml,,,9,Power System Reliability,Priority 1,CrossRef
52,10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Daogui Tang; Yi-Ping Fang; Enrico Zio,2023,Reliability Engineering & System Safety,Elsevier,10.1016/j.ress.2023.109212,https://api.elsevier.com/content/article/PII:S0951832023001278?httpAccept=text/xml,,,63,Smart Grid Analytics,Priority 1,CrossRef
53,10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Lars Ødegaard Bentsen; Narada Dilp Warakagoda; Roy Stenbro; Paal Engelstad,2023,Applied Energy,Elsevier,10.1016/j.apenergy.2022.120565,https://api.elsevier.com/content/article/PII:S0306261922018220?httpAccept=text/xml,,,175,Spatio-Temporal Forecasting,Priority 1,CrossRef
54,10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Di Wu; Weixuan Lin,2023,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2022.3208211,https://doi.org/10.1109/tsg.2022.3208211,,,97,Graph Neural Networks,Priority 1,CrossRef
55,10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Wei Wang; Yu Zhang; Guanqun Zhuang; Song Gao; Peng Wang; Linbo Fu,2023,2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),IEEE,10.1109/ei259745.2023.10512367,https://doi.org/10.1109/ei259745.2023.10512367,,,0,Load Shedding Prediction,Priority 1,CrossRef
