paper_id,title,year,research_topic,model_reported,graph_based,transformer_based,deep_learning,optimization_control,multi_task,explainability_reported,venue_tier,stgt_relevance
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,2024,Electrical Load Forecasting,particle swarm; deep learning; optimization,False,False,True,True,False,False,Peer-reviewed journal,Low
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,2024,Electrical Load Forecasting,deep learning,False,False,True,False,False,False,Peer-reviewed journal,Low
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,2024,Electrical Load Forecasting,ensemble; deep learning,False,False,True,False,False,False,Conference proceeding,Low
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,2024,Electrical Load Forecasting,deep learning,False,False,True,False,False,False,Peer-reviewed journal,Low
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,2024,Electrical Load Forecasting,autoformer; deep learning,False,False,True,False,False,False,Conference proceeding,Low
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,2024,Spatio-Temporal Forecasting,transformer,False,True,False,False,False,False,Peer-reviewed journal,High
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,2024,Electrical Load Forecasting,transformer,False,True,False,False,False,False,Conference proceeding,Low
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,2024,Load Shedding Prediction,load shedding prediction,False,False,False,False,False,False,Top-tier journal,Medium
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,2024,Load Shedding Prediction,load shedding prediction,False,False,False,False,False,False,Top-tier journal,Medium
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,2024,Smart Grid Analytics,machine learning,False,False,False,False,False,False,Top-tier journal,Low
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,2024,Smart Grid Analytics,smart grid analytics,False,False,False,False,False,False,Peer-reviewed journal,Low
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,2023,Power System Reliability,power system reliability,False,False,False,False,False,False,Peer-reviewed journal,Low
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,2023,Smart Grid Analytics,smart grid analytics,False,False,False,False,False,False,Peer-reviewed journal,Low
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,2023,Spatio-Temporal Forecasting,transformer,False,True,False,False,False,False,Top-tier journal,High
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,2023,Graph Neural Networks,graph neural network; neural network,True,False,True,False,False,False,Top-tier journal,High
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,2023,Load Shedding Prediction,load shedding prediction,False,False,False,False,False,False,Peer-reviewed journal,Medium
