paper_id,title,research_topic,limitation_category,limitation
10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Smart Grid Analytics,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Smart Grid Analytics,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,Smart Grid Analytics,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,Explainable AI,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,Explainable AI,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2024.3458074,Aggregator-Grid Interactive Building Dual-Layer Price-Responsive Demand Response Scheduling Based on Federated Deep Reinforcement Learning,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2024.3458074,Aggregator-Grid Interactive Building Dual-Layer Price-Responsive Demand Response Scheduling Based on Federated Deep Reinforcement Learning,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_icsge68440.2025.11441914,A Centralized Deep Reinforcement Learning Method for Demand Response in Building Clusters,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_icsge68440.2025.11441914,A Centralized Deep Reinforcement Learning Method for Demand Response in Building Clusters,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_b978-0-443-28951-4.00003-4,Smart grid technologies through data preprocessing and feature engineering: role in demand response and green machine learning,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_b978-0-443-28951-4.00003-4,Smart grid technologies through data preprocessing and feature engineering: role in demand response and green machine learning,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Graph Neural Networks,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Graph Neural Networks,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Graph Neural Networks,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Graph Neural Networks,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Graph Neural Networks,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Graph Neural Networks,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Graph Transformers,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Graph Transformers,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Graph Transformers,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Explainable AI,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Explainable AI,Methodological,Review paper does not provide new empirical STGT explainability evidence.
10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Explainable AI,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Multi-task Learning,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Multi-task Learning,Task formulation,"Tasks are typically multi-energy (heat/gas/electricity), not demand + sparse shedding."
10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Multi-task Learning,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1007_s41019-023-00233-8,Graph Neural Network-Based Short‑Term Load Forecasting with Temporal Convolution,Graph Neural Networks,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1007_s41019-023-00233-8,Graph Neural Network-Based Short‑Term Load Forecasting with Temporal Convolution,Graph Neural Networks,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Scope mismatch,May focus on transmission/HV assets rather than daily regional demand-shedding stress.
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Scope mismatch,May focus on transmission/HV assets rather than daily regional demand-shedding stress.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
