paper_id,title,research_topic,opportunity_category,opportunity
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Feature/method transfer,Integrate semi-Markov / security assessment metrics as auxiliary stress labels.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,STGT architecture,Map resilience indicators to graph-level stress covariates in STGT.
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
