catalog_index,paper_id,title,doi,year,research_topic,problem,dataset,features,model,explainability_method,strengths,weaknesses,limitations,future_opportunities,relevance_to_stgt_paper
11,10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,10.2139/ssrn.5929608,2025,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),ensemble; deep learning; optimization,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads. | Hybrid/ensemble designs offer ablation baselines for STGT comparisons.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
12,10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,10.2139/ssrn.5266806,2025,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),deep learning,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads. | Hybrid/ensemble designs offer ablation baselines for STGT comparisons.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
13,10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,10.2139/ssrn.5218780,2025,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Residential load/AMI data (region not fully specified in metadata),Historical load and calendar covariates (inferred from title),deep learning,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
14,10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,10.1109/tpec63981.2025.10906984,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),optimization,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Directly targets load-shedding decision/control—high operational relevance.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
15,10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,10.1109/itis67966.2025.11308934,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Tambora sub-system (Indonesia),Historical load and calendar covariates (inferred from title),particle swarm; optimization,None reported in available metadata,Directly targets load-shedding decision/control—high operational relevance.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
16,10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,10.1109/powertech59965.2025.11180549,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),machine learning,None reported in available metadata,Spatial cascading perspective matches multi-node stress propagation in Bangladesh grid.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
17,10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,10.2139/ssrn.5113684,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,frequency / stability signals,load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
18,10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,10.1109/isgtla64895.2025.11371202,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Puerto Rico grid case study,frequency / stability signals,load shedding prediction,None reported in available metadata,,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
19,10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,10.1109/sgee68429.2025.11385577,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,frequency / stability signals,load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Directly targets load-shedding decision/control—high operational relevance.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
20,10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,10.2139/ssrn.5104306,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
21,10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,10.1109/isitia66279.2025.11137472,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,frequency / stability signals; cluster-based load profiles,neural network; optimization,None reported in available metadata,Directly targets load-shedding decision/control—high operational relevance.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
22,10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,10.1016/j.energy.2025.135624,2025,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
23,10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,10.1109/icmlas64557.2025.10967699,2025,Smart Grid Analytics,Smart-grid analytics aligned with smart grid analytics,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),smart grid analytics,None reported in available metadata,"Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
24,10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,10.1109/icmlant68509.2025.11394862,2025,Smart Grid Analytics,Smart-grid analytics aligned with smart grid analytics,Electric-vehicle charging infrastructure data,Historical load and calendar covariates (inferred from title),machine learning,None reported in available metadata,"Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
25,10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,10.1109/wconf64849.2025.11233664,2025,Smart Grid Analytics,Short-/medium-term energy or load forecasting (smart grid analytics),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),machine learning,None reported in available metadata,"Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
26,10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,10.1109/access.2025.3543759,2025,Explainable AI,Explaining or reviewing interpretability of load-forecasting models,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),machine learning,Explainable AI framework (method not fully specified in metadata),Journal venue provides peer-reviewed validation beyond conference abstracts. | Directly supports explainable STGT claims required by the project manuscript.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Apply SHAP to node-level and global graph features separately for operator-facing explanations. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — explainability track aligns with manuscript goal
